characteristic,cluster1,cluster2,p.adj,conover_stat
initial_Q,1,2,0.15874270198843218,1.1736093251212814
initial_Q,1,3,0.17570640358404932,-1.0730834830468199
initial_Q,2,3,0.07197374710946938,-1.878645195341395
initial_Q,1,4,0.33559882933973306,-0.5147502907170312
initial_Q,2,4,0.07829110617043254,-1.7921461563383556
initial_Q,3,4,0.24838920591498004,0.7979491186514704
initial_Q,1,5,0.012995503281753234,2.7036326932206816
initial_Q,2,5,0.12983561912295297,1.3669576159476249
initial_Q,3,5,0.010137499709773545,2.922027671515486
initial_Q,4,5,0.0040600163769909945,3.6078755707661765
initial_Q,1,6,0.015571798905085501,2.704136417443066
initial_Q,2,6,0.0952239286010289,1.6103987217368085
initial_Q,3,6,0.010413601636132386,3.0057283753718145
initial_Q,4,6,0.004944330689496687,3.355448999544597
initial_Q,5,6,0.3237877117913864,0.5012311520465242
initial_Q,1,7,0.15699405178663176,1.2188617004043019
initial_Q,2,7,0.4834848771183454,-0.04145899096501931
initial_Q,3,7,0.08510540136306075,1.9159941025458493
initial_Q,4,7,0.07460726022235473,1.9151616199630819
initial_Q,5,7,0.10441378887876732,-1.5230134723292814
initial_Q,6,7,0.08055105110179829,-1.7340726938043796
duration_since_last,1,2,0.5143335000761299,0.08707115942826109
duration_since_last,1,3,0.12031314254906203,1.5360643289985045
duration_since_last,2,3,0.11314362377278843,1.4418161756950334
duration_since_last,1,4,0.10723164583293757,1.6418826306504217
duration_since_last,2,4,0.11850800893852767,1.4566380850832543
duration_since_last,3,4,0.35712102452079625,-0.5568978434665338
duration_since_last,1,5,0.09371010481241553,-2.020402764947764
duration_since_last,2,5,0.07873773737918913,-2.016884895266494
duration_since_last,3,5,0.013193573243654652,-2.9298689593395397
duration_since_last,4,5,8.860074863536865e-4,-4.010757732126091
duration_since_last,1,6,0.49500260473459573,0.07175969054849586
duration_since_last,2,6,0.4978906292261277,-0.005293792122349173
duration_since_last,3,6,0.12329658610814796,-1.35735940983852
duration_since_last,4,6,0.13569006780394738,-1.266457322528588
duration_since_last,5,6,0.11708578047096621,1.7708082967216163
duration_since_last,1,7,0.11709317116999321,-1.6504231418642972
duration_since_last,2,7,0.1280204378413748,-1.66439410706948
duration_since_last,3,7,0.020961645620624123,-2.678544305573005
duration_since_last,4,7,0.0023009828210551597,-3.5731791261435766
duration_since_last,5,7,0.4149355565945942,0.37059263295521044
duration_since_last,6,7,0.1270276377363015,-1.4622774834470587
delta_rat_Q,1,2,0.06833822604410103,-1.8544937948186424
